TestTime,ChipSN,init_chip_results
1692728361,3H00001,0
1692728375,3H00001,0
1692728394,3H0002,0
1692728427,3H0002,0
1692728464,3H0003,0
1692728501,3H0004,0
1692728539,3H0005,0
1692728572,3H0005,0
1692728609,3H0006,0
1692728642,3H0006,0
1692728680,3H0007,0
1692728717,3H0008,0
1692728750,3H0008,0
1692728787,3H0009,0
1692728819,3H0009,0
1692728856,3H0010,0
1692728894,3H0011,0
1692728927,3H0011,0
1692738252,3H0001,0
1692738269,3H0001,0
1692738288,3H0002,0
1692738326,3H0003,0
1692738363,3H0004,0
1692738396,3H0004,0
1692738433,3H0005,0
1692738470,3H0006,0
1692738503,3H0006,0
1692738541,3H0007,0
1692738578,3H0008,0
1692738615,3H0009,0
1692738648,3H0009,0
1692738685,3H0010,0
1692738722,3H0011,0
1692738755,3H0011,0
